"Territorio","COD_INE","dif2191","Dist_capital","mas15percen","eros_mod_grave","Tasa_desempleo","b_ancha","subsidios_poblacion","Gastos_habit","ind_ambiental","ind_social","ind_economico","vulner"
"L<ed>nea de la Concepci<f3>n (La)",11022,0.0619900576027776,122.628533335,0.0780923335396186,0.109075044,43.1606133,0,1.44664510376391e-05,902.991015092,"3","4","1","3"
"Medina Sidonia",11023,0.0918479641073394,39.376127164,0.0437771937676245,3.741241385,34.1410077,0.26826271065225,0.00896611077880301,824.147177144,"1","4","2","1"
"Olvera",11024,-0.0707335329341317,123.806290598,0.178713624749628,40.449372967,25.7921267,0.342277032756931,0.0442240518974551,1012.481016886,"4","2","4","4"
"Paterna de Rivera",11025,0.03345521023766,41.06605768,0.040078758097889,7.393790849,37.8241738,0.0245762070835908,0.0150517976855576,839.386747715,"1","3","2","2"
"Prado del Rey",11026,-0.0258178603006189,86.741872673,0.0905108296474736,47.901006129,37.0948482,0.0245762070835908,0.0134983790150309,776.425256021,"3","3","2","3"
"Puerto de Santa Mar<ed>a (El)",11027,0.143992813833371,18.719610278,0.00562874594144077,0.501153736,32.8061036,0.00842053371223798,0.000128190732988996,0,"1","2","1","1"
"Puerto Real",11028,0.143353043977879,10.079974719,0.00773095919154422,1.117024387,32.5927179,0.468592733917935,0.000273315618012497,2519.399031398,"1","4","1","2"
"Puerto Serrano",11029,0.0207075064710958,94.138380202,0.163064058457311,50.214682903,24.7088727,0.0245762070835908,0.0736147061633592,731.635764299,"4","1","4","4"
"Rota",11030,0.145706881265771,32.113579622,0.00227885682925767,0.048302512,29.907312,0.291987394438889,0.00016765555002387,0,"1","2","1","1"
"San Fernando",11031,0.0716160519464092,14.016221952,0.00704751580610422,0.042498938,35.16188,0.194011868981895,2.10821465841652e-05,764.452524558,"1","3","1","1"
"San Jos<e9> del Valle",11902,0.0370036101083032,54.672748973,0.10468819961956,15.390022846,31.9528582,0.26826271065225,0.0225443742554152,1193.583492531,"2","4","3","3"
"San Mart<ed>n del Tesorillo",11903,0.0194801934630897,15.422511271,0.262043145065712,63.206326383,19.6794129,0.0245762070835908,2.95403509393832e-05,370.072600799,"3","1","1","1"
"San Roque",11033,0.271676300578035,108.162202976,0.0546676614587658,3.40380377,31.5187868,0.575312809135121,0.00012935176287974,1433.590727145,"2","4","1","3"
"Sanl<fa>car de Barrameda",11032,0.133123282547082,41.308961036,0.00322632093081763,1.560863189,34.4767893,0,0.0161638396132764,860.949121193,"1","3","2","1"
"Setenil de las Bodegas",11034,-0.107487027427724,134.425157585,0.0563412974662449,35.253819279,23.589486,0.23987702944048,0.0437361008191253,1379.590751174,"4","2","4","4"
"Tarifa",11035,0.151413408426297,104.659166674,0.097784494823311,11.075532881,30.6175794,0.291987394438889,8.12303693274125e-05,1131.320411849,"3","4","1","2"
"Torre Alh<e1>quime",11036,-0.13125,127.374815174,0.172209186859906,48.318240621,29.0957447,0.342277032756931,0.0775000000125,1324.197936709,"4","3","4","4"
"Trebujena",11037,0.0234308435103664,50.481341371,0.00312867154002551,5.223033253,26.7701863,0.0245762070835908,0.02935955694405,1657.188920034,"1","3","3","2"
"Ubrique",11038,-0.0554544351413663,99.756698249,0.184452475213684,33.252642621,32.4346137,0.00480286671898446,0.000581442381992477,819.16959812,"4","2","1","2"
"Vejer de la Frontera",11039,0.00254533884823417,51.701219561,0.0184409808068426,2.721364744,36.7410714,0.468592733917935,0.00743053346007,1234.204428074,"1","4","2","2"
"Villaluenga del Rosario",11040,0.0991379310344828,109.873227736,0.321522042440213,38.978240303,20.4962244,0.0245762070835908,0.00880028734913793,3172.696131868,"4","4","2","4"
"Villamart<ed>n",11041,0.0141855670103093,81.891585865,0.0223085581975234,23.516139307,34.2014526,0.291987394438889,0.0358144329921649,1028.120988477,"2","4","3","3"
"Zahara",11042,-0.0776419841840403,106.300675736,0.301088419317816,43.896385916,26.5779597,0.342277032756931,0.0388209920920201,1420.722350397,"4","3","4","4"
"Adamuz",14001,-0.0456411494808017,32.264168008,0.18327329894048,26.491734982,20.6794229,0.194011868981895,0.0545359414006279,947.680109733,"2","1","4","3"
"Aguilar de la Frontera",14002,-0.00171667413046723,47.431580806,0.0145656483990976,37.309283244,23.7850218,0.342277032756931,0.0630006966211375,788.916569628,"2","2","4","3"
"Alcaracejos",14003,0.0337609723160027,70.373648837,0.046008544023536,11.838863469,25.6600967,0.0245762070835908,0.00309475579338285,2888.555565276,"2","4","1","2"
"Almedinilla",14004,-0.0837585034013605,92.742149469,0.169684780533831,69.828722003,19.6794129,0.342277032756931,0.0374503968239796,1224.350359682,"4","1","3","4"
"Almod<f3>var del R<ed>o",14005,0.126928820308611,24.153313531,0.0895798195717755,12.049960866,31.1335074,0.0245762070835908,0.0265575742508711,1012.282756709,"1","3","3","2"
"A<f1>ora",14006,-0.0347313237221494,75.906533642,0.058162686347277,2.304078369,24.282337,0.816189734813851,0.00436871997378768,2203.566869679,"2","4","1","2"
"Baena",14007,-0.0142970611596505,60.071403172,0.0290226519230278,57.844370913,23.5436602,0.0213069945705593,0.036819345159121,974.398788633,"3","1","3","3"
"Belalc<e1>zar",14008,-0.147489865918304,97.789416556,0.00481790314782268,0.025337704,33.2841933,0.342277032756931,0.0206839205893358,1091.726110599,"2","3","3","2"
"Belmez",14009,-0.271944922547332,66.811988923,0.0277169275127808,1.748678324,42.9185428,0.0245762070835908,0.000946643717728055,1184.729774205,"1","4","1","1"
"Benamej<ed>",14010,0.0136491368928141,82.655139149,0.0983285257820768,34.947257384,23.6393884,0.0245762070835908,0.0802221330128462,1293.288046718,"3","2","4","4"
"Bl<e1>zquez (Los)",14011,-0.0849772382397572,93.226752351,0.00658464377776659,0.13735509,33.5895465,0.291987394438889,0.0137835103641882,1578.217927383,"2","4","2","2"
"Bujalance",14012,-0.0934937124111536,39.490474239,0.0139031437669951,81.191915545,24.6506428,0.00962346709970055,0.0669195370790049,788.250981529,"3","1","4","4"
"Cabra",14013,-0.0174364040503828,64.903339333,0.0547748497348319,34.75389714,24.0889161,0.400036231174958,0.0237219066426278,938.071970896,"2","2","3","2"
